events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate,hit
single,hit_into_play_no_out,462101,R,2.0,106.1,95.68,96.12,518617.0,L,SI,97.1,2213.0,True
field_out,hit_into_play,656811,L,24.0,86.0,54.45,93.06,571946.0,R,CU,79.9,2280.0,False
force_out,hit_into_play,425772,R,-7.0,97.0,116.88,149.42,503449.0,R,FF,96.2,1942.0,False
field_out,hit_into_play,624585,R,9.0,85.4,93.19,164.0,605488.0,L,CH,81.3,1532.0,False
home_run,hit_into_play_score,609275,R,37.0,102.8,8.74,72.35,605488.0,L,CH,81.1,1631.0,True
field_out,hit_into_play,452254,R,62.0,83.8,167.15,152.45,596001.0,R,SL,81.6,2545.0,False
home_run,hit_into_play_score,608577,L,31.0,109.0,44.28,49.17,596001.0,R,CU,80.2,2498.0,True
field_out,hit_into_play,670032,L,50.0,73.9,120.69,109.56,605488.0,L,CH,81.2,1510.0,False
single,hit_into_play_no_out,656811,L,-10.0,73.4,131.42,179.1,605488.0,L,SI,93.1,2244.0,True
single,hit_into_play_no_out,455117,R,12.0,101.9,112.78,82.45,501985.0,L,CH,85.6,2088.0,True
single,hit_into_play_no_out,460086,L,-4.0,60.3,113.85,143.97,501985.0,L,SL,86.6,2757.0,True
single,hit_into_play_no_out,609275,R,1.0,88.7,76.3,107.63,501985.0,L,CH,85.2,2258.0,True
field_out,hit_into_play,425783,L,33.0,95.5,62.98,66.44,596001.0,R,FF,91.8,2178.0,False
field_out,hit_into_play,425772,R,-21.0,82.9,113.85,185.15,596001.0,R,SL,80.9,2528.0,False
field_out,hit_into_play,608597,L,6.0,94.5,112.64,150.63,596001.0,R,CH,83.6,1168.0,False
single,hit_into_play_no_out,670032,L,-25.0,91.0,136.87,147.0,501985.0,L,FF,92.1,2718.0,True
field_out,hit_into_play,656811,L,-23.0,78.4,150.19,167.59,501985.0,L,CH,85.9,2287.0,False
force_out,hit_into_play,596059,L,-13.0,100.3,153.22,152.45,596001.0,R,FF,92.4,2260.0,False
field_out,hit_into_play,452254,R,-19.0,77.9,122.33,156.69,596001.0,R,SL,83.7,2585.0,False
field_out,hit_into_play,624585,R,25.0,96.5,54.79,60.08,501985.0,L,CH,87.5,2377.0,False
field_out,hit_into_play,462101,R,5.0,101.2,105.85,145.97,596001.0,R,FF,91.8,2087.0,False
home_run,hit_into_play_score,425783,L,28.0,102.6,144.4,22.12,596001.0,R,SL,82.7,2711.0,True
field_out,hit_into_play,608597,L,4.0,58.1,146.79,173.26,596001.0,R,FF,91.8,2246.0,False
single,hit_into_play_no_out,609275,R,-12.0,100.4,123.54,88.85,501985.0,L,KC,80.0,2548.0,True
field_out,hit_into_play,670032,L,35.0,81.7,90.46,78.41,501985.0,L,SL,86.2,2764.0,False
single,hit_into_play_no_out,452678,L,21.0,82.4,67.22,109.58,596001.0,R,FF,92.5,2287.0,True
single,hit_into_play_no_out,656811,L,12.0,88.7,143.87,106.62,501985.0,L,FF,93.2,2774.0,True
field_out,hit_into_play,608577,L,-33.0,93.6,128.39,185.15,596001.0,R,SL,82.4,2508.0,False
grounded_into_double_play,hit_into_play,462101,R,12.0,71.8,148.98,153.05,596001.0,R,SL,84.9,2498.0,False
single,hit_into_play_no_out,425783,L,15.0,86.4,122.49,89.2,596001.0,R,SL,82.3,2456.0,True
field_out,hit_into_play,624585,R,29.0,96.8,154.61,48.56,501985.0,L,SI,87.7,2851.0,False
field_out,hit_into_play,641531,R,17.0,100.5,200.67,90.05,501985.0,L,FF,92.9,2636.0,False
single,hit_into_play_no_out,593160,R,2.0,99.5,134.45,87.64,501985.0,L,SL,87.6,2873.0,True
field_out,hit_into_play,670032,L,-43.0,85.4,110.22,161.53,501985.0,L,FF,94.6,2748.0,False
single,hit_into_play_no_out,543068,R,-1.0,114.4,108.94,150.46,543118.0,R,FF,93.3,2209.0,True
field_out,hit_into_play,553902,R,2.0,75.5,110.76,156.51,543118.0,R,FF,93.0,2189.0,False
field_out,hit_into_play,624414,R,9.0,94.7,105.12,144.29,573046.0,R,SL,74.7,1378.0,False
field_out,hit_into_play,518595,R,-39.0,43.8,127.5,187.2,573046.0,R,FT,90.4,1861.0,False
field_out,hit_into_play,642715,R,-26.0,59.6,97.0,163.0,573046.0,R,CH,72.3,1381.0,False
field_out,hit_into_play,503556,R,6.0,107.2,112.58,154.7,592473.0,L,FC,90.5,2121.0,False
force_out,hit_into_play_score,621439,R,-21.0,65.4,108.34,174.08,592473.0,L,CH,81.6,2155.0,False
single,hit_into_play_no_out,488771,L,-4.0,90.6,124.09,143.19,592473.0,L,SI,90.7,2109.0,True
single,hit_into_play_no_out,501303,R,-1.0,82.2,136.2,77.77,592473.0,L,SI,89.6,1963.0,True
field_out,hit_into_play,640457,L,9.0,100.2,111.71,141.71,641793.0,R,FC,84.9,2139.0,False
home_run,hit_into_play_score,596847,L,38.0,103.9,191.09,51.49,641793.0,R,FF,90.3,1847.0,True
double,hit_into_play_score,541645,R,18.0,106.3,89.96,33.23,641793.0,R,FF,90.3,1860.0,True
field_out,hit_into_play,621002,R,-32.0,57.7,139.0,178.0,641793.0,R,FC,84.2,1983.0,False
single,hit_into_play_no_out,628338,R,13.0,97.4,84.11,98.97,641793.0,R,FT,91.6,1905.0,True
field_out,hit_into_play,664040,L,3.0,101.1,138.62,141.37,641793.0,R,FC,84.9,2104.0,False
field_out,hit_into_play,650333,L,29.0,89.5,58.84,75.06,450203.0,R,FC,85.7,2532.0,False
field_out,hit_into_play,543068,R,35.0,91.8,125.38,55.26,450203.0,R,FC,84.4,2528.0,False
field_out,hit_into_play,518595,R,69.0,80.0,112.58,182.56,641793.0,R,FC,85.5,2092.0,False
field_out,hit_into_play,642715,R,12.0,67.6,121.62,139.23,641793.0,R,FC,85.7,2007.0,False
field_out,hit_into_play,503556,L,-14.0,101.6,107.73,166.2,450203.0,R,FT,95.0,2277.0,False
field_out,hit_into_play_score,596146,L,-20.0,78.9,154.37,169.84,450203.0,R,CU,79.2,2923.0,False
triple,hit_into_play_no_out,621439,R,40.0,79.1,205.54,125.05,450203.0,R,CU,76.2,2804.0,True
field_out,hit_into_play,640457,L,17.0,101.3,55.95,77.16,641793.0,R,FF,90.4,1875.0,False
single,hit_into_play_no_out,541645,R,22.0,75.1,162.26,116.05,641793.0,R,FF,90.7,1942.0,True
field_out,hit_into_play,488771,L,26.0,96.4,134.67,36.84,450203.0,R,FS,85.1,2006.0,False
single,hit_into_play_score,501303,L,10.0,96.5,94.45,76.92,450203.0,R,FF,94.4,2141.0,True
double,hit_into_play_no_out,650333,L,22.0,99.5,149.63,51.55,450203.0,R,FC,86.7,2522.0,True
field_out,hit_into_play,592696,L,32.0,86.2,131.17,58.42,450203.0,R,FF,94.8,2236.0,False
field_out,hit_into_play,628338,R,21.0,98.8,64.74,57.36,641793.0,R,FF,90.3,1833.0,False
double,hit_into_play_score,664040,L,21.0,107.1,202.39,91.62,641793.0,R,CU,74.1,2046.0,True
double,hit_into_play_score,624414,R,13.0,104.3,93.04,74.54,641793.0,R,CU,73.9,1963.0,True
single,hit_into_play_score,642715,R,12.0,99.4,134.38,93.52,641793.0,R,FC,84.0,2155.0,True
single,hit_into_play_score,640457,L,9.0,105.8,102.37,72.74,641793.0,R,FF,93.0,1884.0,True
double,hit_into_play_no_out,502054,R,19.0,101.9,180.31,56.59,641793.0,R,FC,83.5,2021.0,True
single,hit_into_play_no_out,541645,R,-11.0,99.3,98.65,145.61,641793.0,R,CU,73.9,1795.0,True
field_out,hit_into_play,621002,R,23.0,78.5,142.21,86.77,641793.0,R,FF,91.3,1683.0,False
field_out,hit_into_play,570731,R,-36.0,82.4,107.73,174.08,450203.0,R,CU,78.4,2908.0,False
field_out,hit_into_play,503556,L,-3.0,100.2,108.34,172.26,450203.0,R,FT,94.3,2096.0,False
field_out,hit_into_play,596146,L,17.0,97.8,41.87,81.6,450203.0,R,FT,93.9,2226.0,False
field_out,hit_into_play,628338,R,29.0,74.0,181.02,109.27,641793.0,R,FF,91.6,1836.0,False
single,hit_into_play_score,664040,L,14.0,91.3,183.97,86.78,527048.0,L,FC,88.6,2231.0,True
double,hit_into_play_no_out,624414,R,22.0,79.9,113.2,84.97,527048.0,L,FC,89.0,2312.0,True
single,hit_into_play_score,518595,R,35.0,66.3,173.16,129.55,527048.0,L,CH,85.6,1841.0,True
field_out,hit_into_play,642715,R,-21.0,82.9,120.45,180.74,527048.0,L,FC,87.2,2265.0,False
double,hit_into_play_score,640457,L,6.0,77.8,219.79,108.06,527048.0,L,FT,92.8,1966.0,True
single,hit_into_play_no_out,621002,R,11.0,99.6,152.35,67.3,527048.0,L,FT,95.5,2020.0,True
grounded_into_double_play,hit_into_play,621439,R,-17.0,88.1,119.85,147.43,450203.0,R,FT,94.0,2149.0,False
single,hit_into_play_no_out,488771,L,13.0,101.0,189.85,90.26,450203.0,R,CU,79.1,2964.0,True
field_out,hit_into_play,501303,L,22.0,62.8,108.97,131.0,450203.0,R,FF,95.0,2233.0,False
field_out,hit_into_play,664040,L,-22.0,81.6,135.59,152.88,527048.0,L,FF,95.9,2027.0,False
field_out,hit_into_play,624414,R,5.0,91.5,134.99,142.58,527048.0,L,FT,93.5,1950.0,False
field_out,hit_into_play,650333,L,-26.0,81.2,114.39,177.11,450203.0,R,CU,78.5,2763.0,False
field_out,hit_into_play,592696,L,41.0,90.4,189.8,82.79,450203.0,R,CU,78.8,2914.0,False
force_out,hit_into_play,640457,L,-22.0,78.8,149.52,154.7,527048.0,L,FF,95.2,2127.0,False
single,hit_into_play_no_out,502054,R,20.0,83.0,145.16,96.16,527048.0,L,CH,86.5,1694.0,True
field_out,hit_into_play,541645,R,-2.0,83.1,105.21,147.07,527048.0,L,FC,89.0,2207.0,False
field_out,hit_into_play,596146,L,-21.0,83.0,154.37,171.05,450203.0,R,FT,94.0,1988.0,False
field_out,hit_into_play,457803,L,42.0,74.7,95.52,105.35,657228.0,R,FT,93.4,2142.0,False
field_out,hit_into_play,553882,L,-22.0,69.7,148.3,158.79,657228.0,R,SL,84.7,2227.0,False
