events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,543829.0,L,26.0,91.5,71.14,72.99,458681.0,R,FF,94.6,2473.0
strikeout,foul_tip,543829.0,L,,,,,458681.0,R,FF,95.0,2479.0
walk,ball,543829.0,L,,,,,664871.0,R,FF,94.7,1964.0
field_out,hit_into_play,543829.0,L,36.0,91.5,159.64,64.73,455119.0,R,FF,95.4,2334.0
strikeout,swinging_strike,543829.0,L,,,,,445926.0,R,FF,90.7,2200.0
strikeout,swinging_strike,543829.0,L,,,,,571946.0,R,FF,94.7,2315.0
field_out,hit_into_play,543829.0,L,39.0,89.2,76.82,110.12,571946.0,R,,,
single,hit_into_play_no_out,543829.0,L,10.0,98.8,189.15,126.67,425772.0,R,SL,69.2,1508.0
strikeout,swinging_strike,543829.0,L,,,,,491646.0,R,CH,82.8,1113.0
single,hit_into_play_score,543829.0,L,31.0,64.0,85.41,132.58,605488.0,L,SL,86.9,2268.0
single,hit_into_play_no_out,543829.0,L,-7.0,94.7,91.0,134.15,656685.0,L,FF,92.7,2116.0
sac_fly,hit_into_play_score,543829.0,L,21.0,80.8,170.07,88.7,656685.0,L,SL,87.1,2303.0
field_out,hit_into_play,543829.0,L,37.0,77.0,149.3,90.4,663978.0,R,CH,83.8,1794.0
field_out,hit_into_play,543829.0,L,-10.0,77.3,146.64,178.24,663978.0,R,CH,83.4,1593.0
strikeout,swinging_strike,543829.0,L,,,,,663978.0,R,CH,83.8,1604.0
field_out,hit_into_play,543829.0,L,22.0,88.4,88.0,85.46,622259.0,R,SL,84.6,2038.0
field_out,hit_into_play,543829.0,L,-13.0,92.2,147.25,152.19,623364.0,L,FF,93.8,2049.0
field_out,hit_into_play,543829.0,L,51.0,74.0,83.23,125.79,676606.0,L,SL,78.5,1947.0
double,hit_into_play_no_out,543829.0,L,25.0,72.3,125.36,95.92,676606.0,L,FF,87.6,2007.0
home_run,hit_into_play_score,543829.0,L,36.0,98.6,233.88,85.76,598287.0,R,SI,89.0,2318.0
double,hit_into_play_no_out,543829.0,L,4.0,88.9,155.63,165.52,621142.0,R,SL,82.7,1810.0
field_out,hit_into_play,543829.0,L,22.0,95.2,84.08,65.58,642545.0,R,FF,90.9,2109.0
double_play,hit_into_play,543829.0,L,28.0,80.4,168.72,81.04,642545.0,R,SL,80.8,2493.0
