events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
single,hit_into_play_no_out,429665.0,R,1.0,70.9,160.97,110.12,621244.0,R,CH,83.9,1455.0
single,hit_into_play_no_out,429665.0,R,-9.0,82.9,142.22,90.35,621244.0,R,FT,94.2,2154.0
strikeout,swinging_strike,429665.0,R,,,,,543483.0,R,SL,89.1,2616.0
single,hit_into_play_score,429665.0,R,12.0,87.6,103.1,144.01,527048.0,L,FC,90.2,2405.0
walk,ball,429665.0,R,,,,,527048.0,L,FC,88.9,2370.0
double,hit_into_play_no_out,429665.0,R,20.0,103.6,178.21,51.43,527048.0,L,FT,95.0,2028.0
single,hit_into_play_no_out,429665.0,R,2.0,97.3,84.42,110.12,608648.0,R,FF,92.7,2136.0
field_out,hit_into_play,429665.0,R,44.0,97.9,201.2,85.6,501381.0,R,FF,92.2,1883.0
strikeout,swinging_strike,429665.0,R,,,,,501381.0,R,SL,84.5,2054.0
field_out,hit_into_play,429665.0,R,84.0,87.6,147.29,211.51,501381.0,R,FF,93.0,2077.0
field_out,hit_into_play,429665.0,R,67.0,90.3,145.76,161.33,521230.0,R,FF,96.6,2173.0
field_out,hit_into_play,429665.0,R,27.0,97.8,196.63,64.77,474463.0,L,SL,81.4,2427.0
strikeout,swinging_strike,429665.0,R,,,,,474463.0,L,FF,89.2,1972.0
field_out,hit_into_play,429665.0,R,49.0,98.4,171.73,79.79,474463.0,L,SI,88.7,1805.0
field_out,hit_into_play,429665.0,R,-33.0,88.8,98.72,161.05,465657.0,R,FF,92.9,2275.0
walk,ball,429665.0,R,,,,,642152.0,R,FC,92.7,2456.0
field_out,hit_into_play,429665.0,R,24.0,100.7,127.25,28.95,433589.0,R,FF,89.3,2299.0
field_out,hit_into_play,429665.0,R,69.0,80.0,92.85,188.68,571666.0,R,FT,90.8,2342.0
field_out,hit_into_play,429665.0,R,-9.0,102.7,114.66,169.91,571666.0,R,FF,91.7,2302.0
strikeout,swinging_strike,429665.0,R,,,,,595001.0,R,SL,87.0,2537.0
field_out,hit_into_play,429665.0,R,-7.0,72.3,109.14,148.16,519393.0,R,SL,85.3,2385.0
field_out,hit_into_play,429665.0,R,59.0,86.2,171.24,139.02,584171.0,R,SL,80.6,2223.0
sac_fly,hit_into_play_score,429665.0,R,43.0,96.8,82.07,64.64,584171.0,R,CH,85.1,1381.0
field_out,hit_into_play,429665.0,R,48.0,91.8,156.18,86.93,518489.0,R,SL,84.0,2604.0
field_out,hit_into_play,429665.0,R,-10.0,85.4,98.13,163.4,519144.0,R,SL,83.4,2532.0
field_error,hit_into_play_no_out,429665.0,R,65.0,81.0,132.67,188.29,519144.0,R,SL,83.5,2591.0
field_out,hit_into_play,429665.0,R,48.0,75.2,183.47,127.33,519144.0,R,SL,83.3,2522.0
double,hit_into_play_score,429665.0,R,36.0,106.3,98.75,39.29,592804.0,R,FF,93.8,2511.0
field_out,hit_into_play,429665.0,R,15.0,94.6,84.55,86.55,593958.0,L,FT,91.4,2319.0
field_out,hit_into_play,429665.0,R,20.0,96.9,144.29,49.38,593958.0,L,FC,88.4,2170.0
field_out,hit_into_play,429665.0,R,-7.0,83.0,100.67,171.52,593958.0,L,FT,93.3,2144.0
field_out,hit_into_play,429665.0,R,-19.0,59.8,127.12,182.52,547973.0,L,FF,99.7,2409.0
walk,ball,429665.0,R,,,,,493603.0,R,SL,84.4,2987.0
field_out,hit_into_play,429665.0,R,56.0,81.8,122.52,124.79,457918.0,L,FF,91.7,2314.0
walk,ball,429665.0,R,,,,,457918.0,L,FT,90.2,2148.0
walk,ball,429665.0,R,,,,,545332.0,R,SL,86.2,2008.0
field_out,hit_into_play,429665.0,R,63.0,91.0,144.87,137.49,570666.0,R,FF,95.6,2441.0
home_run,hit_into_play_score,429665.0,R,21.0,106.5,28.48,71.76,570666.0,R,SL,84.9,2573.0
field_out,hit_into_play,429665.0,R,-61.0,48.8,123.91,191.52,642528.0,R,CU,84.1,2795.0
sac_fly,hit_into_play_score,429665.0,R,14.0,98.4,131.15,70.95,642528.0,R,CU,84.1,2763.0
field_out,hit_into_play,429665.0,R,27.0,78.4,75.89,91.88,592454.0,R,SL,84.2,2590.0
home_run,hit_into_play_score,429665.0,R,19.0,113.0,23.27,66.28,547888.0,R,FS,87.8,1561.0
walk,ball,429665.0,R,,,,,547888.0,R,SL,82.3,2593.0
strikeout,called_strike,429665.0,R,,,,,547888.0,R,SL,83.1,2380.0
strikeout,swinging_strike,429665.0,R,,,,,493603.0,R,SL,81.9,2907.0
single,hit_into_play_no_out,429665.0,R,23.0,77.0,162.13,104.45,282332.0,L,SL,80.6,2264.0
walk,ball,429665.0,R,,,,,282332.0,L,FC,87.6,2192.0
field_out,hit_into_play,429665.0,R,43.0,64.4,114.9,119.2,282332.0,L,SL,79.6,2285.0
field_out,hit_into_play,429665.0,R,12.0,84.7,105.02,144.54,608700.0,R,FF,78.1,1916.0
strikeout,swinging_strike,429665.0,R,,,,,424144.0,L,SL,79.6,2206.0
home_run,hit_into_play_score,429665.0,R,29.0,103.8,53.7,37.7,519096.0,R,SI,88.2,1934.0
field_out,hit_into_play,429665.0,R,23.0,90.0,69.53,69.34,457754.0,R,SL,80.3,2601.0
single,hit_into_play_no_out,429665.0,R,12.0,102.2,73.74,95.42,594736.0,R,CU,82.2,2586.0
walk,ball,429665.0,R,,,,,543272.0,L,FF,92.5,2467.0
field_out,hit_into_play,429665.0,R,-6.0,98.0,109.82,147.14,471911.0,R,FF,92.7,2257.0
strikeout,called_strike,429665.0,R,,,,,471911.0,R,FF,91.6,2265.0
home_run,hit_into_play_score,429665.0,R,25.0,100.7,39.19,51.84,471911.0,R,CH,87.1,1343.0
single,hit_into_play_no_out,429665.0,R,17.0,84.9,88.57,88.74,643256.0,R,SI,84.9,2186.0
field_out,hit_into_play,429665.0,R,-16.0,97.5,112.36,157.3,669456.0,R,FF,93.1,2236.0
field_out,hit_into_play,429665.0,R,69.0,80.0,157.06,193.87,669456.0,R,CH,87.3,1531.0
strikeout,swinging_strike,429665.0,R,,,,,669456.0,R,FF,93.5,2205.0
strikeout,swinging_strike,429665.0,R,,,,,596027.0,R,SL,91.4,2922.0
strikeout,called_strike,429665.0,R,,,,,452657.0,L,FC,87.3,2279.0
walk,ball,429665.0,R,,,,,452657.0,L,FF,89.3,2130.0
field_out,hit_into_play,429665.0,R,47.0,87.5,124.64,85.17,452657.0,L,FC,88.6,2416.0
walk,ball,429665.0,R,,,,,518553.0,R,SI,90.1,2389.0
home_run,hit_into_play_score,429665.0,R,25.0,107.3,26.84,50.69,445213.0,R,SI,92.5,2015.0
strikeout,swinging_strike,429665.0,R,,,,,430935.0,L,FT,90.6,1947.0
walk,ball,429665.0,R,,,,,430935.0,L,FC,87.9,1883.0
strikeout,swinging_strike_blocked,429665.0,R,,,,,430935.0,L,CU,79.2,1830.0
field_out,hit_into_play,429665.0,R,69.0,80.0,154.38,186.17,458681.0,R,FC,87.3,2476.0
other_out,ball,429665.0,R,,,,,458681.0,R,FF,95.5,2421.0
field_out,hit_into_play,429665.0,R,62.0,103.0,92.03,139.02,458681.0,R,FF,93.8,2265.0
walk,ball,429665.0,R,,,,,458681.0,R,FF,95.9,2522.0
field_out,hit_into_play,429665.0,R,43.0,91.4,180.81,87.74,501985.0,L,FF,93.5,2501.0
strikeout,swinging_strike,429665.0,R,,,,,501985.0,L,CH,85.7,2239.0
strikeout,called_strike,429665.0,R,,,,,501985.0,L,CH,86.8,2229.0
walk,blocked_ball,429665.0,R,,,,,455119.0,R,CH,88.5,1369.0
field_out,hit_into_play,429665.0,R,69.0,80.0,78.34,175.52,518875.0,R,SL,80.7,2491.0
single,hit_into_play_score,429665.0,R,10.0,100.0,68.71,111.64,571946.0,R,FF,94.3,2280.0
home_run,hit_into_play_score,429665.0,R,23.0,112.7,26.63,64.5,571946.0,R,FF,95.4,2393.0
strikeout,swinging_strike_blocked,429665.0,R,,,,,571946.0,R,CU,79.5,2307.0
single,hit_into_play_no_out,429665.0,R,10.0,70.4,126.69,135.81,491646.0,R,SI,91.5,2048.0
hit_by_pitch,hit_by_pitch,429665.0,R,,,,,491646.0,R,CH,82.6,1227.0
strikeout,swinging_strike,429665.0,R,,,,,605488.0,L,SI,92.9,2195.0
field_out,hit_into_play,429665.0,R,8.0,100.9,104.19,167.41,656685.0,L,FF,94.1,2282.0
walk,ball,429665.0,R,,,,,621368.0,L,FF,92.3,2202.0
strikeout,swinging_strike,429665.0,R,,,,,622259.0,R,FF,95.7,2051.0
walk,ball,429665.0,R,,,,,489334.0,R,SI,92.1,2255.0
walk,ball,429665.0,R,,,,,676606.0,L,SL,80.5,1899.0
force_out,hit_into_play,429665.0,R,-27.0,65.9,99.4,171.57,676606.0,L,CU,70.2,1961.0
field_out,hit_into_play,429665.0,R,16.0,75.0,104.98,127.61,676606.0,L,SL,78.6,2145.0
field_out,hit_into_play,429665.0,R,65.0,90.0,174.37,154.27,472610.0,R,SL,84.6,2218.0
strikeout,swinging_strike,429665.0,R,,,,,598287.0,R,CU,79.4,2726.0
