player_id,first_name,last_name,BA,xBA
641313.0,tim,anderson,0.319,0.289
570482.0,gio,urshela,0.307,0.305
593643.0,hanser,alberto,0.306,0.265
606466.0,ketel,marte,0.299,0.276
518934.0,dj,lemahieu,0.299,0.307
435062.0,howie,kendrick,0.296,0.312
453568.0,charlie,blackmon,0.296,0.255
668804.0,bryan,reynolds,0.295,0.287
488726.0,michael,brantley,0.293,0.269
646240.0,rafael,devers,0.292,0.29
543685.0,anthony,rendon,0.292,0.312
643446.0,jeff,mcneil,0.29,0.278
621028.0,kevin,newman,0.289,0.27
665487.0,fernando,tatis,0.286,0.263
593160.0,whit,merrifield,0.285,0.261
592885.0,christian,yelich,0.285,0.281
493329.0,yuli,gurriel,0.281,0.276
605612.0,harold,castro,0.281,0.244
571448.0,nolan,arenado,0.281,0.258
578428.0,jose,iglesias,0.277,0.24
514888.0,jose,altuve,0.277,0.2
607208.0,trea,turner,0.275,0.244
605204.0,j. d.,davis,0.274,0.294
621311.0,david,dahl,0.273,0.263
596019.0,francisco,lindor,0.273,0.264
467092.0,wilson,ramos,0.273,0.261
600303.0,tommy,la stella,0.272,0.264
502110.0,j. d.,martinez,0.272,0.263
660162.0,yoan,moncada,0.272,0.278
516782.0,starling,marte,0.271,0.279
642708.0,amed,rosario,0.27,0.243
466320.0,melky,cabrera,0.27,0.258
542454.0,danny,santana,0.269,0.272
670541.0,yordan,alvarez,0.269,0.288
592206.0,nick,castellanos,0.269,0.252
518692.0,freddie,freeman,0.268,0.29
657077.0,alex,verdugo,0.268,0.255
593871.0,jorge,polanco,0.268,0.267
606132.0,raimel,tapia,0.268,0.232
452254.0,hunter,pence,0.268,0.262
593428.0,xander,bogaerts,0.268,0.27
595879.0,javier,baez,0.268,0.258
596115.0,trevor,story,0.267,0.259
443558.0,nelson,cruz,0.267,0.284
641355.0,cody,bellinger,0.265,0.3
519299.0,eric,sogard,0.265,0.282
516416.0,jean,segura,0.264,0.259
623993.0,anthony,santander,0.263,0.253
645277.0,ozzie,albies,0.263,0.268
543829.0,dee,gordon,0.262,0.226
640457.0,austin,meadows,0.262,0.262
592696.0,eddie,rosario,0.262,0.268
664058.0,david,fletcher,0.262,0.247
592567.0,colin,moran,0.261,0.272
547989.0,jose,abreu,0.261,0.269
408234.0,miguel,cabrera,0.261,0.269
543333.0,eric,hosmer,0.26,0.246
660271.0,shohei,ohtani,0.26,0.257
500743.0,miguel,rojas,0.259,0.273
650402.0,gleyber,torres,0.259,0.247
657656.0,ramon,laureano,0.258,0.25
543807.0,george,springer,0.257,0.243
623912.0,harold,ramirez,0.257,0.231
544725.0,leury,garcia,0.257,0.225
514917.0,cesar,hernandez,0.257,0.241
641531.0,hunter,dozier,0.257,0.244
592663.0,j. t.,realmuto,0.256,0.27
595751.0,jorge,alfaro,0.255,0.217
460075.0,ryan,braun,0.255,0.268
666971.0,lourdes,gurriel,0.255,0.23
425877.0,yadier,molina,0.255,0.27
502517.0,daniel,murphy,0.255,0.242
457759.0,justin,turner,0.255,0.281
516770.0,starlin,castro,0.255,0.247
624428.0,adam,frazier,0.254,0.258
543877.0,christian,vazquez,0.254,0.249
541645.0,avisail,garcia,0.253,0.235
543510.0,james,mccann,0.253,0.236
643265.0,garrett,cooper,0.252,0.262
462101.0,elvis,andrus,0.252,0.25
455976.0,nick,markakis,0.251,0.281
571718.0,brian,goodwin,0.251,0.254
444482.0,david,peralta,0.25,0.257
664040.0,brandon,lowe,0.25,0.225
607680.0,kevin,pillar,0.25,0.231
641820.0,trey,mancini,0.249,0.26
543939.0,kolten,wong,0.249,0.201
660670.0,ronald,acuna,0.249,0.248
542340.0,jonathan,villar,0.248,0.224
520471.0,freddy,galvis,0.248,0.22
430945.0,adam,jones,0.247,0.256
665742.0,juan,soto,0.247,0.261
609275.0,adalberto,mondesi,0.247,0.225
429664.0,robinson,cano,0.247,0.263
500871.0,eduardo,escobar,0.247,0.261
605141.0,mookie,betts,0.246,0.276
543760.0,marcus,semien,0.246,0.219
640458.0,oscar,mercado,0.246,0.224
502210.0,josh,reddick,0.245,0.249
553882.0,omar,narvaez,0.245,0.263
621566.0,matt,olson,0.244,0.31
605137.0,josh,bell,0.244,0.247
575929.0,willson,contreras,0.244,0.201
592743.0,andrelton,simmons,0.244,0.205
608577.0,nomar,mazara,0.244,0.236
665489.0,vladimir,guerrero,0.244,0.255
594809.0,adam,eaton,0.244,0.246
664068.0,scott,kingery,0.244,0.218
573262.0,mike,yastrzemski,0.243,0.223
608324.0,alex,bregman,0.242,0.26
502054.0,tommy,pham,0.242,0.238
643217.0,andrew,benintendi,0.241,0.232
503556.0,marwin,gonzalez,0.241,0.235
592178.0,kris,bryant,0.241,0.222
621043.0,carlos,correa,0.241,0.29
641598.0,mitch,garver,0.24,0.245
467793.0,carlos,santana,0.239,0.262
519203.0,anthony,rizzo,0.239,0.27
650490.0,yandy,diaz,0.238,0.271
547172.0,tony,wolters,0.238,0.239
608385.0,jesse,winker,0.238,0.216
500874.0,jose,martinez,0.237,0.243
570731.0,jonathan,schoop,0.237,0.235
435559.0,kurt,suzuki,0.237,0.285
621035.0,chris,taylor,0.237,0.224
608369.0,corey,seager,0.237,0.235
519058.0,mike,moustakas,0.236,0.247
553993.0,eugenio,suarez,0.236,0.229
435622.0,ian,desmond,0.235,0.237
605113.0,nick,ahmed,0.234,0.212
592450.0,aaron,judge,0.234,0.265
545361.0,mike,trout,0.234,0.296
446334.0,evan,longoria,0.234,0.252
592518.0,manny,machado,0.233,0.228
457763.0,buster,posey,0.233,0.227
435522.0,neil,walker,0.233,0.266
572228.0,luke,voit,0.233,0.246
543068.0,c. j.,cron,0.233,0.242
460086.0,alex,gordon,0.233,0.218
624413.0,pete,alonso,0.232,0.249
624577.0,yasiel,puig,0.232,0.222
656308.0,michael,chavis,0.231,0.209
596144.0,cheslor,cuthbert,0.231,0.253
605119.0,brian,anderson,0.231,0.242
650391.0,eloy,jimenez,0.231,0.204
572233.0,christian,walker,0.23,0.231
669222.0,nick,senzel,0.23,0.217
553869.0,elias,diaz,0.23,0.234
458015.0,joey,votto,0.229,0.235
641525.0,brandon,dixon,0.229,0.208
641857.0,ryan,mcmahon,0.229,0.222
542303.0,marcell,ozuna,0.229,0.28
572039.0,stephen,piscotty,0.228,0.239
621020.0,dansby,swanson,0.228,0.264
570267.0,domingo,santana,0.228,0.237
502671.0,paul,goldschmidt,0.228,0.236
456715.0,lorenzo,cain,0.228,0.263
623520.0,david,bote,0.228,0.254
600524.0,renato,nunez,0.227,0.241
642715.0,willy,adames,0.227,0.218
600474.0,pedro,severino,0.227,0.246
592192.0,mark,canha,0.226,0.232
518792.0,jason,heyward,0.226,0.212
425783.0,shin-soo,choo,0.226,0.238
405395.0,albert,pujols,0.226,0.243
608070.0,jose,ramirez,0.226,0.265
570560.0,carlos,sanchez,0.225,0.204
614177.0,franmil,reyes,0.225,0.231
592325.0,ben,gamel,0.225,0.227
572033.0,josh,phegley,0.225,0.232
452678.0,asdrubal,cabrera,0.225,0.215
596748.0,maikel,franco,0.224,0.24
606299.0,jose,peraza,0.224,0.232
546991.0,albert,almora,0.224,0.219
608348.0,carson,kelly,0.223,0.232
595281.0,kevin,kiermaier,0.223,0.208
592348.0,niko,goodrum,0.222,0.231
543401.0,jason,kipnis,0.222,0.224
640461.0,chad,pinder,0.222,0.25
656305.0,matt,chapman,0.222,0.23
624424.0,michael,conforto,0.221,0.246
645302.0,victor,robles,0.221,0.204
596146.0,max,kepler,0.221,0.244
518595.0,travis,d'arnaud,0.221,0.226
592626.0,joc,pederson,0.221,0.256
519346.0,eric,thames,0.22,0.199
542921.0,tim,beckham,0.22,0.216
458731.0,brett,gardner,0.22,0.225
605412.0,joe,panik,0.219,0.222
571771.0,enrique,hernandez,0.218,0.204
624585.0,jorge,soler,0.218,0.234
572122.0,kyle,seager,0.218,0.22
543257.0,robbie,grossman,0.217,0.219
518626.0,josh,donaldson,0.217,0.237
596847.0,ji-man,choi,0.217,0.234
547180.0,bryce,harper,0.216,0.265
