events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
single,hit_into_play_no_out,543829,L,1.0,96.5,190.11,114.11,656222,L,CU,74.2,2551.0
field_out,hit_into_play,543829,L,41.0,84.5,86.56,86.54,656222,L,FF,91.7,1976.0
field_out,hit_into_play,543829,L,-21.0,82.9,150.74,157.72,650895,R,SI,98.3,2077.0
field_out,hit_into_play,543829,L,-17.0,78.5,148.92,167.42,543118,R,FS,83.3,
single,hit_into_play_no_out,543829,L,14.0,92.1,85.73,82.24,475054,R,SL,79.7,2866.0
force_out,hit_into_play_score,543829,L,-25.0,78.0,149.52,168.02,656713,L,FC,89.5,2252.0
grounded_into_double_play,hit_into_play,543829,L,-10.0,73.5,148.46,156.43,643327,R,FC,89.0,2272.0
field_out,hit_into_play,543829,L,69.0,80.0,104.85,146.13,543208,R,SI,87.8,2090.0
single,hit_into_play_no_out,543829,L,12.0,87.4,166.03,106.76,623381,L,CU,76.0,2360.0
field_out,hit_into_play,543829,L,-2.0,69.0,148.46,154.01,623381,L,CU,75.0,2445.0
field_out,hit_into_play,543829,L,69.0,80.0,81.83,149.77,521655,R,CU,76.5,2448.0
field_out,hit_into_play,543829,L,-20.0,53.4,150.28,169.15,571882,R,CU,77.2,2042.0
single,hit_into_play_no_out,543829,L,4.0,91.8,129.68,87.38,663423,R,SL,79.8,3261.0
field_out,hit_into_play,543829,L,-7.0,88.2,150.28,152.19,663423,R,FS,82.4,1417.0
walk,ball,543829,L,,,,,663423,R,FF,93.0,2364.0
triple,hit_into_play_no_out,543829,L,-17.0,85.3,187.54,129.87,596101,R,FF,95.3,2462.0
field_out,hit_into_play,543829,L,22.0,98.5,84.18,48.77,621097,R,FT,90.2,1897.0
field_out,hit_into_play,543829,L,26.0,93.8,126.07,70.44,621097,R,FF,92.3,1933.0
field_out,hit_into_play,543829,L,-9.0,94.1,157.55,166.12,641302,L,CU,80.0,2485.0
double,hit_into_play_no_out,543829,L,17.0,98.4,83.0,71.75,641853,R,SI,94.9,2378.0
